--- TRADE LOG ---
2015-01-09 11:45:00+05:30 → 2015-01-30 14:10:00+05:30 | BUY | Entry: ₹8254.8 | Exit: ₹8799.1 | PnL: ₹329.68 | Return: 6.59% | Capital Left: ₹50329.68
2015-01-30 14:55:00+05:30 → 2015-02-06 15:10:00+05:30 | BUY | Entry: ₹8796.8 | Exit: ₹8654.7 | PnL: ₹-80.77 | Return: -1.62% | Capital Left: ₹50248.91
2015-02-06 15:20:00+05:30 → 2015-02-12 09:15:00+05:30 | SHORT | Entry: ₹8667.85 | Exit: ₹8662.95 | PnL: ₹2.83 | Return: 0.06% | Capital Left: ₹50251.74
2015-02-12 09:35:00+05:30 → 2015-02-13 12:00:00+05:30 | SHORT | Entry: ₹8638.2 | Exit: ₹8779.65 | PnL: ₹-81.87 | Return: -1.64% | Capital Left: ₹50169.87
2015-02-13 12:05:00+05:30 → 2015-02-24 14:35:00+05:30 | BUY | Entry: ₹8776.5 | Exit: ₹8727.35 | PnL: ₹-28.0 | Return: -0.56% | Capital Left: ₹50141.87
2015-02-24 15:20:00+05:30 → 2015-02-28 13:20:00+05:30 | BUY | Entry: ₹8759.55 | Exit: ₹8753.3 | PnL: ₹-3.57 | Return: -0.07% | Capital Left: ₹50138.3
2015-02-28 13:25:00+05:30 → 2015-03-02 09:15:00+05:30 | SHORT | Entry: ₹8769.55 | Exit: ₹8956.4 | PnL: ₹-106.54 | Return: -2.13% | Capital Left: ₹50031.76
2015-03-02 09:50:00+05:30 → 2015-03-04 14:50:00+05:30 | BUY | Entry: ₹8959.6 | Exit: ₹8902.9 | PnL: ₹-31.64 | Return: -0.63% | Capital Left: ₹50000.11
2015-03-04 15:15:00+05:30 → 2015-03-09 13:40:00+05:30 | BUY | Entry: ₹8917.55 | Exit: ₹8764.0 | PnL: ₹-86.1 | Return: -1.72% | Capital Left: ₹49914.02
2015-03-09 14:25:00+05:30 → 2015-03-19 10:05:00+05:30 | SHORT | Entry: ₹8777.45 | Exit: ₹8786.25 | PnL: ₹-5.01 | Return: -0.1% | Capital Left: ₹49909.01
2015-03-19 10:45:00+05:30 → 2015-03-30 13:20:00+05:30 | SHORT | Entry: ₹8766.25 | Exit: ₹8446.8 | PnL: ₹182.21 | Return: 3.64% | Capital Left: ₹50091.22
2015-03-30 13:30:00+05:30 → 2015-04-06 13:40:00+05:30 | SHORT | Entry: ₹8442.85 | Exit: ₹8615.5 | PnL: ₹-102.24 | Return: -2.04% | Capital Left: ₹49988.98
2015-04-06 14:10:00+05:30 → 2015-04-09 14:55:00+05:30 | SHORT | Entry: ₹8628.7 | Exit: ₹8763.8 | PnL: ₹-78.29 | Return: -1.57% | Capital Left: ₹49910.69
