entry_time,exit_time,direction,entry_price,exit_price,position_size,profit,return_pct,capital_left
2015-01-09 11:45:00+05:30,2015-01-30 14:10:00+05:30,buy,8254.8,8799.1,0.6057,329.68,6.59,50329.68
2015-01-30 14:55:00+05:30,2015-02-06 15:10:00+05:30,buy,8796.8,8654.7,0.5684,-80.77,-1.62,50248.91
2015-02-06 15:20:00+05:30,2015-02-12 09:15:00+05:30,short,8667.85,8662.95,0.5768,2.83,0.06,50251.74
2015-02-12 09:35:00+05:30,2015-02-13 12:00:00+05:30,short,8638.2,8779.65,0.5788,-81.87,-1.64,50169.87
2015-02-13 12:05:00+05:30,2015-02-24 14:35:00+05:30,buy,8776.5,8727.35,0.5697,-28.0,-0.56,50141.87
2015-02-24 15:20:00+05:30,2015-02-28 13:20:00+05:30,buy,8759.55,8753.3,0.5708,-3.57,-0.07,50138.3
2015-02-28 13:25:00+05:30,2015-03-02 09:15:00+05:30,short,8769.55,8956.4,0.5702,-106.54,-2.13,50031.76
2015-03-02 09:50:00+05:30,2015-03-04 14:50:00+05:30,buy,8959.6,8902.9,0.5581,-31.64,-0.63,50000.11
2015-03-04 15:15:00+05:30,2015-03-09 13:40:00+05:30,buy,8917.55,8764.0,0.5607,-86.1,-1.72,49914.02
2015-03-09 14:25:00+05:30,2015-03-19 10:05:00+05:30,short,8777.45,8786.25,0.5696,-5.01,-0.1,49909.01
2015-03-19 10:45:00+05:30,2015-03-30 13:20:00+05:30,short,8766.25,8446.8,0.5704,182.21,3.64,50091.22
2015-03-30 13:30:00+05:30,2015-04-06 13:40:00+05:30,short,8442.85,8615.5,0.5922,-102.24,-2.04,49988.98
2015-04-06 14:10:00+05:30,2015-04-09 14:55:00+05:30,short,8628.7,8763.8,0.5795,-78.29,-1.57,49910.69
2015-04-09 15:15:00+05:30,2015-04-23 09:15:00+05:30,short,8781.75,8461.0,0.5694,182.64,3.65,50093.32
2015-04-23 09:20:00+05:30,2015-05-04 15:05:00+05:30,short,8461.25,8327.5,0.5909,79.03,1.58,50172.35
2015-05-04 15:15:00+05:30,2015-05-08 11:05:00+05:30,short,8333.8,8170.75,0.6,97.83,1.96,50270.18
2015-05-08 11:45:00+05:30,2015-05-15 09:20:00+05:30,short,8173.7,8277.65,0.6117,-63.59,-1.27,50206.6
2015-05-15 09:45:00+05:30,2015-05-19 12:10:00+05:30,short,8245.6,8399.25,0.6064,-93.17,-1.86,50113.42
2015-05-19 12:20:00+05:30,2015-06-01 09:15:00+05:30,short,8397.25,8442.75,0.5954,-27.09,-0.54,50086.33
2015-06-01 09:30:00+05:30,2015-06-17 13:45:00+05:30,short,8436.35,8106.55,0.5927,195.47,3.91,50281.81
2015-06-17 14:15:00+05:30,2015-06-29 09:15:00+05:30,buy,8110.85,8221.1,0.6165,67.97,1.36,50349.78
2015-06-29 09:35:00+05:30,2015-07-08 11:05:00+05:30,buy,8231.95,8380.65,0.6074,90.32,1.81,50440.1
2015-07-08 11:40:00+05:30,2015-07-15 09:20:00+05:30,short,8376.3,8485.9,0.5969,-65.42,-1.31,50374.68
2015-07-15 09:25:00+05:30,2015-07-31 11:00:00+05:30,short,8494.05,8499.6,0.5886,-3.27,-0.07,50371.41
2015-07-31 11:05:00+05:30,2015-08-11 14:10:00+05:30,buy,8497.7,8445.9,0.5884,-30.48,-0.61,50340.93
2015-08-11 14:35:00+05:30,2015-08-21 09:15:00+05:30,buy,8466.15,8255.25,0.5906,-124.56,-2.49,50216.37
2015-08-21 09:50:00+05:30,2015-08-25 12:55:00+05:30,short,8260.0,7849.15,0.6053,248.69,4.97,50465.06
2015-08-25 13:00:00+05:30,2015-08-27 13:10:00+05:30,short,7860.15,7943.7,0.6361,-53.15,-1.06,50411.91
2015-08-27 14:20:00+05:30,2015-09-08 14:25:00+05:30,short,7954.15,7708.0,0.6286,154.73,3.09,50566.64
2015-09-08 14:45:00+05:30,2015-09-22 13:50:00+05:30,buy,7704.3,7875.8,0.649,111.3,2.23,50677.95
2015-09-22 13:55:00+05:30,2015-09-29 09:15:00+05:30,buy,7869.6,7712.1,0.6354,-100.08,-2.0,50577.87
2015-09-29 09:30:00+05:30,2015-10-28 13:25:00+05:30,buy,7718.1,8155.1,0.6478,283.09,5.66,50860.96
2015-10-28 14:00:00+05:30,2015-11-02 11:30:00+05:30,buy,8169.65,8013.75,0.612,-95.41,-1.91,50765.55
2015-11-02 11:45:00+05:30,2015-11-05 15:25:00+05:30,buy,8014.7,7947.95,0.6239,-41.65,-0.83,50723.9
2015-11-06 09:20:00+05:30,2015-11-20 10:45:00+05:30,short,7993.55,7872.95,0.6255,75.44,1.51,50799.34
2015-11-20 10:50:00+05:30,2015-12-16 09:35:00+05:30,short,7874.4,7731.1,0.635,91.0,1.82,50890.33
2015-12-16 09:45:00+05:30,2015-12-28 09:15:00+05:30,short,7724.8,7885.85,0.6473,-104.25,-2.08,50786.09
2015-12-28 09:25:00+05:30,2016-01-14 13:10:00+05:30,short,7889.8,7579.3,0.6337,196.76,3.94,50982.85
2016-01-14 14:55:00+05:30,2016-01-18 09:55:00+05:30,buy,7535.85,7400.6,0.6635,-89.74,-1.79,50893.11
2016-01-18 10:30:00+05:30,2016-01-20 09:20:00+05:30,buy,7418.1,7307.65,0.674,-74.44,-1.49,50818.67
2016-01-20 09:45:00+05:30,2016-01-22 10:50:00+05:30,short,7304.25,7390.8,0.6845,-59.24,-1.18,50759.43
2016-01-22 11:25:00+05:30,2016-01-29 14:35:00+05:30,short,7409.1,7546.1,0.6748,-92.45,-1.85,50666.98
2016-01-29 14:45:00+05:30,2016-02-08 11:00:00+05:30,short,7541.4,7505.5,0.663,23.8,0.48,50690.78
2016-02-08 11:45:00+05:30,2016-02-12 14:45:00+05:30,short,7495.4,7029.3,0.6671,310.94,6.22,51001.72
2016-02-12 15:00:00+05:30,2016-02-17 09:15:00+05:30,buy,6987.3,7025.25,0.7156,27.16,0.54,51028.87
