entry_time,exit_time,direction,entry_price,exit_price,position_size,rsi,macd,signal_line,+DI,-DI,adx,divergence,entry_reason,profit,return_pct,capital_left,entry_sl
2015-01-09 11:45:00+05:30,2015-01-30 14:10:00+05:30,buy,8254.8,8799.1,0.6057,20.72,-9.2047,-6.5079,2.24,5.63,63.82,bullish,"RSI < oversold, ADX strong, Bullish Divergence",329.68,6.59,50329.68,8089.7
2015-01-30 14:55:00+05:30,2015-02-06 15:10:00+05:30,buy,8796.8,8654.7,0.5684,26.44,-13.4636,-13.2767,2.79,9.72,37.53,bullish,"RSI < oversold, ADX strong, Bullish Divergence",-80.77,-1.62,50248.91,8620.86
2015-02-06 15:20:00+05:30,2015-02-12 09:15:00+05:30,short,8667.85,8662.95,0.5768,38.98,-7.4229,-7.2214,1.11,21.71,66.93,bearish,"MACD < Signal, -DI > +DI, ADX strong, Bearish Divergence",2.83,0.06,50251.74,8841.21
2015-02-12 09:35:00+05:30,2015-02-13 12:00:00+05:30,short,8638.2,8779.65,0.5788,47.92,4.8329,4.6044,26.7,2.16,48.84,bearish,"ADX strong, Bearish Divergence",-81.87,-1.64,50169.87,8810.96
2015-02-13 12:05:00+05:30,2015-02-24 14:35:00+05:30,buy,8776.5,8727.35,0.5697,80.11,9.8441,8.3511,28.17,28.4,52.34,bullish,"MACD > Signal, ADX strong, Bullish Divergence",-28.0,-0.56,50141.87,8600.97
2015-02-24 15:20:00+05:30,2015-02-28 13:20:00+05:30,buy,8759.55,8753.3,0.5708,44.28,-1.8402,-2.6955,12.11,10.87,24.94,bullish,"MACD > Signal, +DI > -DI, ADX strong, Bullish Divergence",-3.57,-0.07,50138.3,8584.36
2015-02-28 13:25:00+05:30,2015-03-02 09:15:00+05:30,short,8769.55,8956.4,0.5702,21.09,-27.8063,-16.3604,9.47,8.42,12.67,bearish,"MACD < Signal, Bearish Divergence",-106.54,-2.13,50031.76,8944.94
2015-03-02 09:50:00+05:30,2015-03-04 14:50:00+05:30,buy,8959.6,8902.9,0.5581,78.71,33.8532,28.8587,31.84,23.51,23.45,bullish,"MACD > Signal, +DI > -DI, ADX strong, Bullish Divergence",-31.64,-0.63,50000.11,8780.41
2015-03-04 15:15:00+05:30,2015-03-09 13:40:00+05:30,buy,8917.55,8764.0,0.5607,21.77,-33.3254,-26.3474,7.83,6.26,42.89,bullish,"RSI < oversold, +DI > -DI, ADX strong, Bullish Divergence",-86.1,-1.72,49914.02,8739.2
2015-03-09 14:25:00+05:30,2015-03-19 10:05:00+05:30,short,8777.45,8786.25,0.5696,39.66,-9.7025,-10.612,11.4,20.56,16.93,bearish,"-DI > +DI, Bearish Divergence",-5.01,-0.1,49909.01,8953.0
